group,rcs,risk
cpo - Chen et al. (Pottery),0.1016,0.0007
cpo - Chen et al. (Pottery),0.2902,0.0009
cpo - Chen et al. (Pottery),0.4789,0.002
cpo - Chen et al. (Pottery),0.6675,0.0028
cpo - Chen et al. (Pottery),0.8562,0.0037
cpo - Chen et al. (Pottery),1.0448,0.0054
cpo - Chen et al. (Pottery),1.2335,0.0045
cpo - Chen et al. (Pottery),1.4221,0.0086
cpo - Chen et al. (Pottery),1.6107,0.0099
cpo - Chen et al. (Pottery),1.7994,0.0135
cpo - Chen et al. (Pottery),1.988,0.0159
cpo - Chen et al. (Pottery),2.1767,0.0191
cpo - Chen et al. (Pottery),2.3653,0.0221
cpo - Chen et al. (Pottery),2.554,0.0257
cpo - Chen et al. (Pottery),2.7426,0.0289
cpo - Chen et al. (Pottery),2.9312,0.0332
cpo - Chen et al. (Pottery),3.1199,0.0355
cpo - Chen et al. (Pottery),3.3085,0.0394
cpo - Chen et al. (Pottery),3.4972,0.043
cpo - Chen et al. (Pottery),3.6858,0.0477
cpo - Chen et al. (Pottery),3.8745,0.0513
cpo - Chen et al. (Pottery),4.0631,0.0565
cpo - Chen et al. (Pottery),4.2517,0.0608
cpo - Chen et al. (Pottery),4.4404,0.0655
cpo - Chen et al. (Pottery),4.629,0.0708
cpo - Chen et al. (Pottery),4.8177,0.0757
cpo - Chen et al. (Pottery),5.0063,0.0804
cpo - Chen et al. (Pottery),5.195,0.0862
cpo - Chen et al. (Pottery),5.3836,0.0911
cpo - Chen et al. (Pottery),5.5722,0.0971
cpo - Chen et al. (Pottery),5.7609,0.1029
cpo - Chen et al. (Pottery),5.9495,0.1084
cpo - Chen et al. (Pottery),6.1382,0.114
cpo - Chen et al. (Pottery),6.3268,0.1198
cpo - Chen et al. (Pottery),6.5155,0.1264
cpo - Chen et al. (Pottery),6.7041,0.1319
cpo - Chen et al. (Pottery),6.8927,0.1381
cpo - Chen et al. (Pottery),7.0814,0.1448
cpo - Chen et al. (Pottery),7.27,0.151
cpo - Chen et al. (Pottery),7.4587,0.1578
cpo - Chen et al. (Pottery),7.6473,0.164
cpo - Chen et al. (Pottery),7.836,0.1702
cpo - Chen et al. (Pottery),8.0246,0.177
cpo - Chen et al. (Pottery),8.2132,0.1837
cpo - Chen et al. (Pottery),8.4019,0.1907
cpo - Chen et al. (Pottery),8.5905,0.1978
cpo - Chen et al. (Pottery),8.7792,0.2046
cpo - Chen et al. (Pottery),8.9678,0.2119
cpo - Chen et al. (Pottery),9.1565,0.2187
cpo - Chen et al. (Pottery),9.3451,0.226
cpo - Chen et al. (Pottery),9.5337,0.2335
cpo - Chen et al. (Pottery),9.7224,0.2401
cpo - Chen et al. (Pottery),9.911,0.2472
cpo - Chen et al. (Pottery),10.0997,0.2546
cpo - Chen et al. (Pottery),10.2883,0.2623
cpo - Chen et al. (Pottery),10.477,0.2696
cpo - Chen et al. (Pottery),10.6656,0.2771
cpo - Chen et al. (Pottery),10.8542,0.2839
cpo - Chen et al. (Pottery),11.0429,0.2914
cpo - Chen et al. (Pottery),11.2315,0.2987
cpo - Chen et al. (Pottery),11.4202,0.3068
cpo - Chen et al. (Pottery),11.6088,0.3139
cpo - Chen et al. (Pottery),11.7975,0.3218
cpo - Chen et al. (Pottery),11.9861,0.3286
cpo - Chen et al. (Pottery),12.1747,0.3365
cpo - Chen et al. (Pottery),12.3634,0.344
cpo - Chen et al. (Pottery),12.552,0.3513
cpo - Chen et al. (Pottery),12.7407,0.3594
cpo - Chen et al. (Pottery),12.9293,0.3662
cpo - Chen et al. (Pottery),13.118,0.3739
cpo - Chen et al. (Pottery),13.3066,0.3814
cpo - Chen et al. (Pottery),13.4952,0.3893
cpo - Chen et al. (Pottery),13.6839,0.3962
cpo - Chen et al. (Pottery),13.8725,0.4039
cpo - Chen et al. (Pottery),14.0612,0.4111
cpo - Chen et al. (Pottery),14.2498,0.4192
cpo - Chen et al. (Pottery),14.4385,0.4263
cpo - Chen et al. (Pottery),14.6271,0.4344
cpo - Chen et al. (Pottery),14.8158,0.4408
cpo - Chen et al. (Pottery),15.0044,0.4485
cpo - Chen et al. (Pottery),15.193,0.456
cpo - Chen et al. (Pottery),15.3817,0.4631
cpo - Chen et al. (Pottery),15.5703,0.4708
cpo - Chen et al. (Pottery),15.759,0.4776
cpo - Chen et al. (Pottery),15.9476,0.4851
cpo - Chen et al. (Pottery),16.1363,0.4919
cpo - Chen et al. (Pottery),16.3249,0.499
cpo - Chen et al. (Pottery),16.5135,0.5058
cpo - Chen et al. (Pottery),16.7022,0.5133
cpo - Chen et al. (Pottery),16.8908,0.5206
cpo - Chen et al. (Pottery),17.0795,0.5272
cpo - Chen et al. (Pottery),17.2681,0.5343
cpo - Chen et al. (Pottery),17.4568,0.5411
cpo - Chen et al. (Pottery),17.6454,0.5482
cpo - Chen et al. (Pottery),17.834,0.5552
cpo - Chen et al. (Pottery),18.0227,0.5612
cpo - Chen et al. (Pottery),18.2113,0.5678
cpo - Chen et al. (Pottery),18.4,0.5749
cpo - Chen et al. (Pottery),18.5886,0.5819
cpo - Chen et al. (Pottery),18.7773,0.5879
cpo - Chen et al. (Pottery),18.9659,0.5943
cpo - Chen et al. (Pottery),19.1545,0.6016
cpo - Chen et al. (Pottery),19.3432,0.6069
cpo - Chen et al. (Pottery),19.5318,0.6138
cpo - Chen et al. (Pottery),19.7205,0.6198
cpo - Chen et al. (Pottery),19.9091,0.6262
cpo - Chen et al. (Pottery),20.0192,0.6281
cti - Chen et al. (Tin),0.1645,0.0009
cti - Chen et al. (Tin),0.3531,0.0011
cti - Chen et al. (Tin),0.5418,0.0039
cti - Chen et al. (Tin),0.7304,0.0077
cti - Chen et al. (Tin),0.8562,0.0112
cti - Chen et al. (Tin),1.1549,0.0189
cti - Chen et al. (Tin),1.4535,0.0317
cti - Chen et al. (Tin),1.6422,0.0409
cti - Chen et al. (Tin),1.8308,0.0522
cti - Chen et al. (Tin),1.9723,0.0608
cti - Chen et al. (Tin),2.2081,0.0785
cti - Chen et al. (Tin),2.381,0.0917
